LIB_CODE,LIB_NAME,DIVISION,ZIP_CODE,TEL,FAX,ADDRESS,E_MAIL,HOMEPAGE
124001,광주송정도서관,,62380,062-940-8900,062)944-9411,광주광역시 광산구 송정공원로 8-13,jja992000@nate.com,http://songjung.gen.go.kr/
124002,광주중앙도서관,,501-813,062-607-1300,062)232-8190,광주시 동구 장동로 23-16,없음,http://jungang.gen.go.kr
124003,광주광역시립무등도서관,,61191,062-613-77454,062-613-7709,광주광역시 북구 면앙로 130,taeheee@korea.kr,https://citylib.gwangju.kr/main
124004,광주광역시립사직도서관,,61640,062-671-0568,062)671-0567,광주광역시 남구 제중로 56,-,http://www.citylib.gwangju.kr
124005,광주학생독립운동기념회관,,62024,062-221-5500,062-221-5599,광주광역시 서구 학생독립로 30,snzuuo@korea.kr,http://lib.gen.go.kr/student/
124006,남봉도서관ⓧ,,,,,,,
124007,금호평생교육관,,61633,062-360-6600,062)360-6699,광주광역시 남구 중앙로 15,-,lib.gen.go.kr/geumho/
124008,광주광역시립산수도서관,,61418,062-232-6694,062)225-6412,광주광역시 동구 경양로 355,-,http://www.citylib.gwangju.kr
124009,서구공공도서관,,502-858,062-654-4300,062-654-4310,광주광역시 서구 마재로 3 서구문화센터 3층 서구공공도서관,msj3396@hanmail.net,http://www.ymcakwangju.or.kr/
124010,광주북구일곡도서관,,61036,062-410-6895,062-510-1579,광주광역시 북구 일곡로 55,yona710@korea.kr,https://lib.bukgu.gwangju.kr/main.do
124011,광주학생교육문화회관,,61965,062-380-8874,062)380-8815,광주광역시 서구 상무민주로 61,msr20006@korea.kr,http://gecs.gen.go.kr
124012,광주광역시남구문화정보도서관,,61705,062-650-8156,062)654-8962,광주광역시 남구 봉선로 208,hyi99@nate.com,lib.namgu.gwangju.kr
