LIB_CODE,LIB_NAME,DIVISION,ZIP_CODE,TEL,FAX,ADDRESS,E_MAIL,HOMEPAGE
141001,가평군립한석봉도서관,,12419,031-580-4043,031)580-2589,경기도 가평군 문화로 187,muni92@korea.kr,http://www.gaplib.or.kr/
141003,강화희준도서관,,417-800,032)934-6171,,인천시 강화군 강화읍 관청리 336,,
141004,경기과천교육도서관,,13836,0236770345,025075895,경기도 과천시 도서관길 36,younjo77@goe.go.kr,http://www.kwalib.kr/
141005,경기광주교육도서관,,12761,031-768-6921,031-768-6925,경기도 광주시 경안안길58번길 3,gjlib@goe.go.kr,http://www.gjlib.or.kr/
141006,경기김포교육도서관,,10108,031)998-3538,031)983-3536,경기도 김포시 봉화로 68,simple95@goe.go.lr,
141007,경기도립 남양주도서관 ⓧ,,,,,,,
141008,경기성남교육도서관,,13268,031-730-3534,031-731-1335,경기도 성남시 수정구 공원로370번길 26,doppleganger@korea.kr,http://www.snlib.or.kr/
141009,경기평택교육도서관,,17764,031-663-4207,031667-6548,경기도 평택시 서정북로125번길 103 경기평택교육도서관,sykoo77@goe.go.kr,http://www.ptlib.or.kr/
141010,경기중앙교육도서관,,16279,031-240-4064,031-245-3681,경기도 수원시 장안구 조원로 18,admin@gglib.or.kr,http://www.gglib.or.kr/
141011,양평군립도서관,,12562,031-770-2711,031-770-2819,경기도 양평군 양평읍 양근로 240-9,wonchil7@korea.kr,www.yplib.go.kr
141012,경기여주가남교육도서관,,12662,031-884-0594,031-882-2611,경기도 여주시 가남읍 태평2길 28-7,azuresea@korea.kr,gnlib.or.kr/
141013,연천군중앙도서관,,11025,031-839-4411,031)839-4419,경기도 연천군 전곡읍 전은길 9-26,hash68@korea.kr,library.yeoncheon.go.kr
141014,오산시 청학도서관,,18119,031)370-3575,031)370-3578,경기도 오산시 청학로 65,librarian@osan.go.kr,www.osanlibrary.go.kr/
141015,경기도립 용인도서관 ⓧ,,,,,,,
141016,평택시립도서관팽성분관,,17977,031-8024-5481,03180245489,경기도 평택시 팽성읍 안정로95번길 15-25,kjo77@ptcity.net,www.ptlib.go.kr
141017,경기포천교육도서관,,11147,031-531-8751,031-531-8754,경기도 포천시 중앙로 92-6 경기포천교육도서관,ccc@goe.go.kr,http://www.pclib.or.kr/
141018,고양시립행신도서관,,10514,031-8075-9239,031)961-3242,경기도 고양시 덕양구 행당로33번길 25-6,-,http://www.goyanglib.or.kr/
141019,광명시하안도서관,,14245,02-2680-5459,02)2680-2877,경기도 광명시 철망산로 46 (하안동),marzohkh@yahoo.co.kr,https://gmlib.gm.go.kr
141020,구리시립교문도서관,,11934,031-550-2239,031)550-2595,경기도 구리시 안골로30번길 45,leejun72@korea.kr,http://www.gurilib.go.kr
141021,군포 참뜻도서관 ⓧ,,,,,,,
141022,동두천시립도서관,,483-120,031-860-3261,031)860-2568,경기도 동두천시 상패로 60,ssuk2ki@hanmai.net,http://city.ddclib.net
141023,부천시립도서관ⓧ,,420-838,032)625-4551,032)625-4559,경기도 부천시 원미구 상이로 12(620-4),blue809@korea.kr,http://www.bcl.go.kr/
141024,수원시중앙도서관,,16462,031-228-4788,031)228-3745,경기도 수원시 팔달구 팔달산로 318,lno782@hanmail.net,http://www.suwonlib.go.kr/ct
141025,수원시선경도서관,,16258,031-228-4734,031-255-4826,경기도 수원시 팔달구 신풍로23번길 68,sklib@suwon.ne.kr,http://www.suwonlib.go.kr/sk
141026,안성시립중앙도서관,,17587,031-678-5305,031)678-5309,경기도 안성시 안성맞춤대로 1150,hijini96@korea.kr,http://www.apl.go.kr
141027,안양시립만안도서관,,14091,031-8045-6155,031-8045-6159,경기도 안양시 만안구 냉천로 51,kplee1308@korea.kr,www.anyanglib.or.kr
141028,의정부시립정보도서관ⓧ,,480-845,031)8701-542,031)872-1755,경기도 의정부시 의정부동 326-7,,http://www.uilib.net/information/jsp/homepage/uilib/information/main/Main_ko.jsp?menuid=null&websysdiv=null
141029,이천시립도서관,,17354,031-644-4351,031-,경기도 이천시 설봉로81번길 50 (창전동),eyemiso74@hanmail.net,www.icheonlib.go.kr
141030,파주군립도서관 ⓧ,,,,,,,
141031,평택시립비전도서관,,17896,031-8024-5476,031)8024-5459,경기도 평택시 비전로 27,ptlib@pyeongtaek.go.kr,www.ptlib.go.kr
141032,안산관산도서관,,15364,031)481-2751,031)481-3633,경기도 안산시 단원구 관산길 29,-,http://lib.iansan.net/
141034,군포시산본도서관,,15824,031-390-8847,395-4317,경기도 군포시 광정로 96,jeparks@korea.kr,http://www.gunpolib.go.kr/
141035,남양주시 정약용도서관,,12259,031-590-2586,031)590-2588,경기도 남양주시 경춘로 409,-,http://www.nyj.go.kr/lib/s11_mlib/notice.jsp
141036,안양시립평촌도서관,,14052,031-8045-6201,031-389-3869,경기도 안양시 동안구 관평로 213,yhkim1004@korea.kr,http://www.anyanglib.or.kr
141037,양주시 덕정도서관,,11450,031-8082-7420,031-8082-7409,경기도 양주시 화합로1371번길 11,mmin15@korea.kr,www.libyj.go.kr/
141038,용인중앙도서관,,17057,031324-4690,031-324-4609,경기도 용인시 처인구 명지로 27,leeggu@korea.kr,https://lib.yongin.go.kr/yongin/index.do
141039,의왕시내손도서관,,16027,031-345-2631,031-345-2639,"경기도 의왕시 복지로 109, 4층",hyoh@korea.kr,www.uwlib.or.kr/naeson
141040,파주시립금촌도서관,,10932,031)940-4381,031)940-4385,경기도 파주시 시민회관길 40 (금촌동),kalra116@hanmail.net,pajulib.or.kr/
141041,파주시립문산도서관,,10823,0319408433,0319404382,경기도 파주시 문산읍 개포래로 42,jyjy23@korea.kr,https://lib.paju.go.kr/mslib/index.do
141042,화성시립남양도서관,,18263,0313565241,0313565357,경기도 화성시 남양읍 역골중앙로 143,nlibrarian@hcf.or.kr,www.hscitylib.or.kr/
141043,부천시립심곡도서관,,14751,032-625-4588,032320-3069,경기도 부천시 소사구 성무로 24,hsy0930@korea.kr,http://bcl.go.kr
141044,군포시당동도서관,,15860,031)453-6728,031)390-0634,경기도 군포시 산본로197번길 36,-,http://www.gunpolib.or.kr/
141045,시흥시대야도서관,,14914,031-310-5271,,경기도 시흥시 은행로173번길 14,jeld486@korea.kr,www.shcitylib.or.kr
141046,하남시신장도서관,,12951,031-790-6597,031-790-6599,경기도 하남시 하남대로 740 (신장동),nuigence@hanmail.net,hanamlib.go.kr
141047,안양시립호계도서관,,431-082,031-8045-6261~3,031)389-3899,안양시 동안구 경수대로 685번길 26 (호계동),,http://www.anyanglib.or.kr
141048,화성시립태안도서관,,18362,031)223-4764,031)236-7822,경기도 화성시 화산중앙로 19 (안녕동),-,
141049,파주시립법원도서관,,10826,031)940-4383,031)940-4383,경기도 파주시 법원읍 사임당로 947,jyjy23@korea.kr,pajulib.or.kr/
141050,안산성포도서관,,15293,031)481-2755,031)481-3631,경기도 안산시 상록구 충장로 528,-,http://lib.iansan.net/
141051,안산감골도서관,,15591,031-418-1600,031-418-1602,경기도 안산시 상록구 감골공원안길 16-1,ledyn74@korea.kr,http://lib.iansan.net
141052,성남시 분당도서관,,13606,031-729-4800,031-715-2686,경기도 성남시 분당구 불정로 110,pookaman@korea.kr,http://bd.snlib.go.kr
141053,성남시 중원도서관,,13371,031-752-3913,0317521616,경기도 성남시 중원구 원터로17번길 46,kimmh21@isdc.co.kr,http://jw.snlib.net
141054,세종도서관,,469-107,031-886-5006,031)887-2860,경기도 여주시 영릉로 125,jk3514@korea.kr,http://www.yjlib.go.kr
141055,고양시립마두도서관,,10408,031-8075-9072,031)901-5894,경기도 고양시 일산동구 일산로 355,anawana@korea.kr,http://www.goyanglib.or.kr/
141056,부천시립북부도서관,,14459,032-625-4605,032)320-3755,경기도 부천시 원미구 삼작로301번길 5,-,http://bcl.go.kr
141057,김포시중봉도서관,,10106,0319805186,0319805199,경기도 김포시 봉화로130번길 26 북변동,jungbonglib@korea.kr,lib.gimpo.go.kr/
141059,고양시립원당도서관,,10463,031-8075-9259,031)961-3244,경기도 고양시 덕양구 호국로790번길 87(구 원당제일교회),-,http://www.goyanglib.or.kr/
141060,성남시 수정도서관,,13129,031-743-9600,,경기도 성남시 수정구 수정로332번길 32,-,sj.snlib.go.kr
141061,수원시영통도서관,,16703,031-228-4758,031-228-3756,경기도 수원시 영통구 청명로 151,sehwa80@korea.kr,http://www.suwonlib.go.kr/yt
141062,과천시정보과학도서관,,427-100,02-3677-0801,02-3677-0710,경기도 과천시 중앙로 23,wchjun@gccity.net,http://www.gclib.go.kr/
141064,한아름도서관(수원청소년문화센터내),,16486,031)218-0420,031)218-0404,경기도 수원시 팔달구 권광로 293 (인계동),clearhead73@syf.or.kr,http://www.suwonlib.go.kr/sycc
141065,부천시립꿈빛도서관,,14535,032-625-4622,032)320-3414,경기도 부천시 원미구 신흥로275번길 19,monami@puchonsi.com,http://bcl.go.kr
141066,시흥시중앙도서관,,15035,0313105230,0313105239,경기도 시흥시 정왕대로 191,gsunlight@korea.kr,www.shcitylib.or.kr/
141068,이천시립청미도서관,,17421,031-644-4372,643-0822,경기도 이천시 장호원읍 서동대로8829번길 53-6,iloveall@kg21.net,www.icheonlib.go.kr
141069,성남시립중앙도서관,,13514,031-729-4637,031709-4183,경기도 성남시 분당구 판교로 546,webmaster@sncentrallib.or.kr,http://ct.snlib.go.kr
141070,구리시립인창도서관,,11922,031-550-2936,031-550-2939,경기도 구리시 건원대로34번길 90,glawn1304@guri.go.kr,http://www.gurilib.go.kr
141071,남양주시화도도서관,,12184,031-590-4587,031-590-4588,경기도 남양주시 화도읍 수레로1260번길 33,kyong@nyj.go.kr,http://lib.nyj.go.kr
141072,화정도서관,,412-826,031-8075-9215,031965-5093,경기도 고양시 덕양구 은빛로77번길 8,jinnariza@nate.com,http://www.goyanglib.or.kr/
141073,고양시립백석도서관,,10444,031-8075-9090,031)961-3253,경기도 고양시 일산동구 일산로 118,sunhwa@goyang.go.kr,http://www.goyanglib.or.kr/
141075,의정부정보도서관,,11622,031-828-8700,031-828-8699,경기도 의정부시 의정로 41 (의정부동),admin@uilib.go.kr,www.uilib.go.kr
141076,화성시립삼괴도서관,,18563,031-358-2101,031-358-2102,경기도 화성시 우정읍 쌍봉로 109-26,skycheon@hscity.net,www.hscitylib.or.kr
