LIB_CODE,LIB_NAME,DIVISION,ZIP_CODE,TEL,FAX,ADDRESS,E_MAIL,HOMEPAGE,LATITUDE,LONGITUDE
125001,대전학생교육문화원 부설 산성도서관,,35074,042)220-0700,042)220-0799,"대전광역시 중구 산서로62번길 53, 산성도서관",dllc@edurang.net,www.djsecc.or.kr/Good/,,
125002,대전학생교육문화원,,34849,042229-1453,042229-1480,"대전광역시 중구 동서대로 1360, (목동126번지)",gs1082106@korea.kr,http://dsecc.djsch.kr/djsecc/main.do,,
125003,한밭도서관,,35020,042)270-7472,042)270-7469,대전광역시 중구 서문로 10,,https://www.daejeon.go.kr/hanbatlibrary/index.do,36.3091806,127.4080612
125004,대전광역시서구갈마도서관,,35280,0425334283,0425334285,대전광역시 서구 신갈마로127번길 138,galmalib@or.kr,http://www.galmalib.or.kr/,36.3420039,127.3659326
125005,안산도서관,,34386,042-608-5554,042-608-3862,대전광역시 대덕구 계족로663번길 25,없음,http://lib.daedeok.go.kr,36.3705856,127.4271267
125006,대전광역시동구용운도서관,,34522,042)259-7021,042)284-6220,대전광역시 동구 새울로68번길 23-23,-,lib.donggu.go.kr,36.3243643,127.4636748
125007,유성도서관,,34131,042)601-6530,042)611-2722,대전광역시 유성구 대덕대로 507-38,ojh527@korea.kr,lib.yuseong.go.kr/,36.378450400000006,127.37595575619403
125008,대전동구가오도서관,,300-050,042)285-3223,042)282-9755,대전광역시 동구 가오동 194 번지,,http://yongunlib.donggu.go.kr/html/library/,,
125010,가수원도서관,,35385,0422884776,,대전광역시 서구 가수원로 91-11,wony56@korea.kr,https://www.seogu.go.kr/learning/gasuwonlib/index.do,36.3000827,127.3519363
125011,신탄진도서관,,34308,0426085511,0426083861,대전광역시 대덕구 신탄진동로 64,ahn9514@korea.kr,http://lib.daedeok.go.kr,36.44674295,127.43707250245606
125012,가양도서관ⓧ,,34533,0422597084,0426288168,대전광역시 동구 우암로277번길 72,dhkim322@korea.kr,lib.donggu.go.kr/html/library/gayanglib/,36.3498008,127.4440349
125013,구즉도서관,,34005,042-601-6510,042611-2665-,대전광역시 유성구 와룡로37번길 20,ysl8987@hanmail.net,lib.yuseong.go.kr/,36.429505750000004,127.38033847070028
