LIB_CODE,LIB_NAME,DIVISION,ZIP_CODE,TEL,FAX,ADDRESS,E_MAIL,HOMEPAGE
142001,강릉교육문화관,,25592,033-640-9911,033-640-9905,강원도 강릉시 노암등길 37-1,gangunglib@hanmail.net,http://www.kanglib.or.kr/
142002,강릉시립도서관,,25566,033-660-3271,033-640-4760,강원도 강릉시 강릉대로 448,ksh2014@korea.kr,http://www.gnslib.or.kr/
142003,고성교육도서관,,24720,033-682-4886,033-682-5204,"강원도 고성군 거진읍 거탄진로29번길 7, 고성교육도서관",gslib@korea.kr,lib.gwe.go.kr/gosung
142004,삼척도서관 남양분관,,245-010,0397-72-8609,,강원도 삼척시 남양동 24-1,,
142005,동해도서관 ⓧ,,240-812,033)535-0961,033)535-0952,강원도 동해시 천곡동 829,nkh0618@yahoo.co.kr,http://www.donglib.or.kr/
142006,명주교육도서관,,25419,033-660-6901,033-662-6585,강원도 강릉시 주문진읍 해안3길 11,mjlib6628559@korea.kr,lib.gwe.go.kr/mjlib/egovMain.do
142007,문막교육도서관,,26373,033)735-3688,033)735-3681,강원도 원주시 문막읍 문막시장1길 76-6,-,lib.gwe.go.kr/munmaklib
142008,삼척교육문화관,,25921,033-570-5530,033-570-5501,강원도 삼척시 진주로 48-41,samleic@korea.kr,http://www.samleic.or.kr/
142009,속초교육문화관,,24831,0336300204,0336359028,강원도 속초시 번영로 82,sokcholib@korea.kr,http://www.library.or.kr/
142010,속초교육도서관,,24839,033)636-1495,033)636-1497,강원도 속초시 번영로 15,-,http://lib.gwe.go.kr/sokcholib/egovMain.do
142011,양구교육도서관,,255-806,033-482-0284,033-482-0284,강원도 양구군 양구읍 우정로 119번길,badaegaja@hanmail.net,http://www.yglib.go.kr
142012,양양교육도서관,,25023,033)672-2679,033)672-2689,강원도 양양군 양양읍 남문로 50,ghk9292@korea.kr,lib.gwe.go.kr/yanglib
142013,영월교육도서관,,26239,033)373--9315,033)373-3088,강원도 영월군 영월읍 영월로 1914-7,-,www.ywlib.or.kr/
142014,원주교육문화관,,26419,033)737-1001,033)737-1099,강원도 원주시 북원로 2312 (단계동),libeun02@hanmail.net,www.wonjulib.or.kr/
142015,원주시립도서관,,26487,033-737-4360,033-737-4842,"강원도 원주시 서원대로 472-12, 원주시립중앙도서관 (단구동)",longhohp@korea.kr,lib.wonju.go.kr
142016,인제교육도서관,,24631,033-460-1077,033-460-,강원도 인제군 인제읍 인제로193번길 15-1,jungy23@korea.kr,http://www.injelib.or.kr/
142017,정선교육도서관,,26131,033)563-5330,033)563-5332,강원도 정선군 정선읍 봉양4길 9,-,jslib.or.kr/
142018,철원교육도서관,,269-820,033-455-6928,033-455-4937,강원도 철원군 철원읍 금학로273번길 21-14,jigprit@korea.kr,lib.gwe.go.kr/cwlib
142019,춘성교육도서관,,24206,033)242-6636,033)243-6637,강원도 춘천시 신북읍 신샘밭로 359-32,,http://lib.gwe.go.kr/cslib
142020,춘천시립도서관,,24327,033-245-5102,033-245-5170,강원도 춘천시 우석로 100,hym8095@yahoo.co.kr,library.chuncheon.go.kr
142021,춘천교육문화관,,24358,033-253-2783,033-251-8387,강원도 춘천시 중앙로107번길 14,hye3816@naver.com,lib.gwe.go.kr/kleic
142022,춘천중앙도서관 죽림분관,,200-043,0361-53-2784,,강원도 춘천시 중앙로3가 23-35,,
142023,태백교육도서관,,26039,033)553-1237,033)553-1230,강원도 태백시 태백로 1126,-,www.tblib.or.kr/
142024,평창교육도서관,,232-800,033)332-2615,033)334-2907,강원도 평창군 평창읍 평창중앙로 83-17,pclib2907@korea.kr,http://www.plib.go.kr/
142025,홍천교육도서관,,25134,033)434-3236,033)434-3987,강원도 홍천군 홍천읍 꽃뫼로 93,-,lib.gwe.go.kr/hclib
142026,화천교육도서관,,24121,033)441-6343,033)441-6344,강원도 화천군 화천읍 상승로3길 22,deseong@korea.kr,http://lib.gwe.go.kr/hwcl
142027,횡성교육도서관,,25235,033-344-6591,033-343-6591,강원도 횡성군 횡성읍 교항로 32,hslib6591@korea.kr,lib.gwe.go.kr/hslib
142028,김화도서관,,24058,033-450-5627,033-456-5050,강원도 철원군 서면 와수로184번길 6-31,libe1077@korea.kr,cwghlib.kr
142029,고성군립간성도서관,,219-801,033)680-3665,033)681-3184,강원도 고성군 간성읍 상리 210-1,tahk1220@goseong.org,
142030,태백시립도서관,,235-100,033)550-2755,033)550-2949,강원도 태백시 평화길12,hohoho73@taebaek.go.kr,http://www.tbmlib.or.kr/
142031,삼척도계도서관,,245-905,033)541-5397,033)570-4141,강원도 삼척시 도계읍 도계리 287-5,,
142032,삼척원덕도서관,,245-803,033)572-4819,033)570-3152,강원도 삼척시 원덕읍 호산리 242,jokimbz@empal.com,
142033,철원갈말도서관,,24037,033-450-5227,033-456-5063,"강원도 철원군 갈말읍 명성로179번길 21, 갈말도서관",cwlib@korea.kr,http://cwglib.cwg.go.kr
142034,동해시립발한도서관,,25721,033-530-2480,033-530-2748,강원도 동해시 해안로 535,kms-lb@hanmail.net,http://www.donghaelib.go.kr/
142035,사북공공도서관,,26150,033-592-5757,033-592-5759,"강원도 정선군 사북읍 파랑새길 33, 사북공공도서관",sbl5757@hanmail.net,http://www.sbl.or.kr/
142036,평창군립진부도서관,,25333,033)335-2547,,강원도 평창군 진부면 석두로 12-8,-,lib.happy700.or.kr/
142037,동해시립북삼도서관,,25803,033-530-2490,033-530-2749,강원도 동해시 효자로 649,jhj0013@korea.kr,http://www.donghaelib.go.kr/
142038,.,,,,,,,
142039,춘천남산도서관,,200-911,033)262-2332,033)262-2399,강원도 춘천시 남산면 방곡리 629-30,1,http://www.iccl.or.kr/
