LIB_CODE,LIB_NAME,DIVISION,ZIP_CODE,TEL,FAX,ADDRESS,E_MAIL,HOMEPAGE
128001,검단도서관,,22633,032-560-4117,032-562-0827,인천 서구 완정로92번길 18,ssojin1223@gmail.com,http://www.issl.go.kr/
128002,인천YMCA 갈산종합사회복지관 영유아도서관,,403-708,032-515-8187,032-514-8756,인천 부평구 갈산2동 주공2단지아파트 360번지 인천YMCA 갈산종합사회복지관,galsan515@hanmail.net,http://www.galsan.or.kr/culture/young1.html
128003,푸른초장문고,,407-051,032-541-8981,032-541-8986,인천 계양구 계산1동 956-3,sincere4234@hanmail.net,
128004,여성의광장도서관,,406-130,032-815-7101,032-815-7105,인천시 연수구 동춘동 920번지,hahaha2560@hotmail.com,http://wp.incheon.go.kr/icweb/html/web59/059.html
128005,연수어린이도서관,,406-130,032-749-8200,032-810-7989,인천광역시 연수구 먼우금로 164,iamoeo@dreamwiz.com,http://www.yspubliclib.go.kr
128006,백령도서관,,409-910,032-899-3086,,인천광역시 옹진군 백령면 진촌리 689-4,sourcejw@hanmail.net,
128007,부평기적의도서관,,403-100,032-505-0612,032-505-0614,인천광역시 부평구 부개동 499-1번지,miraclelib@gmail.com,http://www.bpml.or.kr
128008,석남도서관,,404-823,032-575-2600,032-560-4147,인천광역시 서구 서달로137번길 6-12,snlibrary3@gmail.com,http://www.issl.go.kr/
128009,인천광역시 학나래도서관,,402-866,032-880-4303,032-880-4888,인천광역시 남구 한나루로 444 (학익동),goodluck@namgu.incheon.kr,http://hnrl.namgu.incheon.kr
128010,인천광역시교육청평생학습관,,406-802,032-899-1552,032-899-1599,"인천광역시 연수구 경원대로 73 (동춘동, 인천광역시교육청평생학습관)",tg1013@korea.kr,http://www.ilec.go.kr
128011,옥련2동 어린이 작은도서관,,406-821,032-749-6084,032-810-7630,인천광역시 연수구 옥련로 82,jyd9636@hanmail.net,http://www.yspubliclib.go.kr
